index,word
2451,Wall Street
2452,Wall Street
2453,Wall Street
2454,Wall Street
2455,Wall Street
2456,Wall Street
2457,Wall Street
2458,Wall Street
2459,Wall Street
2460,Wall Street
2461,Wall Street
2462,Wall Street
2463,Wall Street
2464,Wall Street
2465,Wall Street
2466,Wall Street
2467,Wall Street
2468,Wall Street
2469,Wall Street
2470,Wall Street
2471,Wall Street
2472,Wall Street
2473,Wall Street
2474,Wall Street
2475,Wall Street
2476,Wall Street
2477,Wall Street
2478,Wall Street
2479,Wall Street
2480,Wall Street
2481,Wall Street
2482,Wall Street
2483,Wall Street
2484,Wall Street
2485,Wall Street
2486,Wall Street
2487,Wall Street
2488,Wall Street
2489,Wall Street
2490,Wall Street
2491,Wall Street
2492,Wall Street
2493,Wall Street
2781,Roy Welland
2781,Ace Greenberg
2781,Sylvia Moss
2781,David Einhorn
2782,Roy Welland
2782,Ace Greenberg
2782,Sylvia Moss
2782,David Einhorn
2783,Roy Welland
2783,Ace Greenberg
2783,Sylvia Moss
2783,David Einhorn
2784,Roy Welland
2784,Ace Greenberg
2784,Sylvia Moss
2784,David Einhorn
2785,Roy Welland
2785,Ace Greenberg
2785,Sylvia Moss
2785,David Einhorn
2786,Roy Welland
2786,Ace Greenberg
2786,Sylvia Moss
2786,David Einhorn
2787,Roy Welland
2787,Ace Greenberg
2787,Sylvia Moss
2787,David Einhorn
2788,Roy Welland
2788,Ace Greenberg
2788,Sylvia Moss
2788,David Einhorn
2789,Roy Welland
2789,Ace Greenberg
2789,Sylvia Moss
2789,David Einhorn
2790,Roy Welland
2790,Ace Greenberg
2790,Sylvia Moss
2790,David Einhorn
2791,Roy Welland
2791,Ace Greenberg
2791,Sylvia Moss
2791,David Einhorn
2792,Roy Welland
2792,Ace Greenberg
2792,Sylvia Moss
2792,David Einhorn
2793,Roy Welland
2793,Ace Greenberg
2793,Sylvia Moss
2793,David Einhorn
2794,Roy Welland
2794,Ace Greenberg
2794,Sylvia Moss
2794,David Einhorn
2795,Roy Welland
2795,Ace Greenberg
2795,Sylvia Moss
2795,David Einhorn
2796,Roy Welland
2796,Ace Greenberg
2796,Sylvia Moss
2796,David Einhorn
2797,Roy Welland
2797,Ace Greenberg
2797,Sylvia Moss
2797,David Einhorn
2798,Roy Welland
2798,Ace Greenberg
2798,Sylvia Moss
2798,David Einhorn
2799,Roy Welland
2799,Ace Greenberg
2799,Sylvia Moss
2799,David Einhorn
2800,Roy Welland
2800,Ace Greenberg
2800,Sylvia Moss
2800,David Einhorn
2801,Roy Welland
2801,Ace Greenberg
2801,Sylvia Moss
2801,David Einhorn
2802,Roy Welland
2802,Ace Greenberg
2802,Sylvia Moss
2802,David Einhorn
2803,Roy Welland
2803,Ace Greenberg
2803,Sylvia Moss
2803,David Einhorn
2804,Roy Welland
2804,Ace Greenberg
2804,Sylvia Moss
2804,David Einhorn
2805,Roy Welland
2805,Ace Greenberg
2805,Sylvia Moss
2805,David Einhorn
2806,Roy Welland
2806,Ace Greenberg
2806,Sylvia Moss
2806,David Einhorn
2807,Roy Welland
2807,Ace Greenberg
2807,Sylvia Moss
2807,David Einhorn
2808,Roy Welland
2808,Ace Greenberg
2808,Sylvia Moss
2808,David Einhorn
2809,Roy Welland
2809,Ace Greenberg
2809,Sylvia Moss
2809,David Einhorn
2810,Roy Welland
2810,Ace Greenberg
2810,Sylvia Moss
2810,David Einhorn
2811,Roy Welland
2811,Ace Greenberg
2811,Sylvia Moss
2811,David Einhorn
2812,Roy Welland
2812,Ace Greenberg
2812,Sylvia Moss
2812,David Einhorn
2813,Roy Welland
2813,Ace Greenberg
2813,Sylvia Moss
2813,David Einhorn
2814,Roy Welland
2814,Ace Greenberg
2814,Sylvia Moss
2814,David Einhorn
2815,Roy Welland
2815,Ace Greenberg
2815,Sylvia Moss
2815,David Einhorn
2816,Roy Welland
2816,Ace Greenberg
2816,Sylvia Moss
2816,David Einhorn
2817,Roy Welland
2817,Ace Greenberg
2817,Sylvia Moss
2817,David Einhorn
2818,Roy Welland
2818,Ace Greenberg
2818,Sylvia Moss
2818,David Einhorn
2819,Roy Welland
2819,Ace Greenberg
2819,Sylvia Moss
2819,David Einhorn
2833,Gus Lubin
2834,Gus Lubin
2835,Gus Lubin
2836,Gus Lubin
2837,Gus Lubin
2838,Gus Lubin
2839,Gus Lubin
2840,Gus Lubin
2841,Gus Lubin
