,index,word,contain_1,contain_2,contain_3,contain_4,contain_5,length,num_space,start,end
16443,21375, Cuts,0,0,0,0,0,5,1,0,0
16444,21376,The Republicans,0,0,0,0,0,15,1,1,0
16445,21376, Republicans,0,0,0,0,0,12,1,0,0
16446,21377,The Republicans,0,0,0,0,0,15,1,1,0
16447,21377, Republicans,0,0,0,0,0,12,1,0,0
16448,21378,The Republicans,0,0,0,0,0,15,1,1,0
16449,21378, Republicans,0,0,0,0,0,12,1,0,0
16450,21379,The Republicans,0,0,0,0,0,15,1,1,0
16451,21379, Republicans,0,0,0,0,0,12,1,0,0
16452,21380,The Republicans,0,0,0,0,0,15,1,1,0
16453,21380, Republicans,0,0,0,0,0,12,1,0,0
16454,21381,The Republicans,0,0,0,0,0,15,1,1,0
16455,21381, Republicans,0,0,0,0,0,12,1,0,0
16456,21382,The Republicans,0,0,0,0,0,15,1,1,0
16457,21382, Republicans,0,0,0,0,0,12,1,0,0
16458,21383,The Republicans,0,0,0,0,0,15,1,1,0
16459,21383, Republicans,0,0,0,0,0,12,1,0,0
16460,21384,The Republicans,0,0,0,0,0,15,1,1,0
16461,21384, Republicans,0,0,0,0,0,12,1,0,0
16462,21385,The Republicans,0,0,0,0,0,15,1,1,0
16463,21385, Republicans,0,0,0,0,0,12,1,0,0
16464,21386,The Republicans,0,0,0,0,0,15,1,1,0
16465,21386, Republicans,0,0,0,0,0,12,1,0,0
16466,21387,The Republicans,0,0,0,0,0,15,1,1,0
16467,21387, Republicans,0,0,0,0,0,12,1,0,0
16468,21388,The Republicans,0,0,0,0,0,15,1,1,0
16469,21388, Republicans,0,0,0,0,0,12,1,0,0
16470,21389,The Republicans,0,0,0,0,0,15,1,1,0
16471,21389, Republicans,0,0,0,0,0,12,1,0,0
16472,21390,The Republicans,0,0,0,0,0,15,1,1,0
16473,21390, Republicans,0,0,0,0,0,12,1,0,0
16474,21391,The Republicans,0,0,0,0,0,15,1,1,0
16475,21391, Republicans,0,0,0,0,0,12,1,0,0
16476,21392,The Republicans,0,0,0,0,0,15,1,1,0
16477,21392, Republicans,0,0,0,0,0,12,1,0,0
16478,21477,Social Security,0,0,0,0,0,15,1,0,0
16479,21477, Security,0,0,0,0,0,9,1,0,0
16480,21478,Social Security,0,0,0,0,0,15,1,0,0
16481,21478, Security,0,0,0,0,0,9,1,0,0
16482,21479,Social Security,0,0,0,0,0,15,1,0,0
16483,21479, Security,0,0,0,0,0,9,1,0,0
16484,21480,Social Security,0,0,0,0,0,15,1,0,0
16485,21480, Security,0,0,0,0,0,9,1,0,0
16486,21481,Social Security,0,0,0,0,0,15,1,0,0
16487,21481, Security,0,0,0,0,0,9,1,0,0
16488,21482,Social Security,0,0,0,0,0,15,1,0,0
16489,21482, Security,0,0,0,0,0,9,1,0,0
16490,21483,Social Security,0,0,0,0,0,15,1,0,0
16491,21483, Security,0,0,0,0,0,9,1,0,0
16492,21484,Social Security,0,0,0,0,0,15,1,0,0
16493,21484, Security,0,0,0,0,0,9,1,0,0
16494,21485,Social Security,0,0,0,0,0,15,1,0,0
